what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.datatools.sqltools.tabledataeditor,1.1.0.201603142002,"org.eclipse.datatools.sqltools.tabledataeditor",1582775476641
stopped,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.3.0.201603142002,"org.eclipse.datatools.connectivity.sqm.core.ui",1582775476642
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.300.v201701262105,"org.eclipse.jst.j2ee.ejb.annotations.ui",1582775476643
stopped,bundle,org.eclipse.datatools.connectivity.ui.dse,1.2.0.201603142002,"org.eclipse.datatools.connectivity.ui.dse",1582775476643
stopped,bundle,org.eclipse.egit.doc,4.6.1.201703071140-r,"org.eclipse.egit.doc",1582775476644
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280609,"org.eclipse.jst.j2ee.xdoclet.runtime",1582775476644
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.300.v201701262105,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1582775476645
stopped,bundle,org.eclipse.jst.jsf.apache.trinidad.tagsupport,1.4.0.v201309172102,"org.eclipse.jst.jsf.apache.trinidad.tagsupport",1582775476645
stopped,bundle,org.eclipse.jst.jsf.facesconfig.ui,1.5.0.v201309172102,"org.eclipse.jst.jsf.facesconfig.ui",1582775476646
stopped,bundle,org.eclipse.jst.jsf.facelet.ui,1.3.110.v201603071844,"org.eclipse.jst.jsf.facelet.ui",1582775476647
stopped,bundle,org.eclipse.jst.jsf.ui,1.6.0.v201309172102,"org.eclipse.jst.jsf.ui",1582775476648
stopped,bundle,org.eclipse.jst.pagedesigner.jsf.ui,1.5.0.v201309172102,"org.eclipse.jst.pagedesigner.jsf.ui",1582775476648
stopped,bundle,org.eclipse.jst.pagedesigner,1.7.110.v201603071844,"org.eclipse.jst.pagedesigner",1582775476649
stopped,bundle,org.eclipse.jst.jsf.common.ui,1.5.0.v201309172102,"org.eclipse.jst.jsf.common.ui",1582775476650
stopped,bundle,org.eclipse.pde.ua.ui,1.1.0.v20160518-1843,"org.eclipse.pde.ua.ui",1582775476650
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.3.0.201603142002,"org.eclipse.datatools.connectivity.oda.template.ui",1582775476651
stopped,bundle,org.eclipse.pde.api.tools.ui,1.1.0.v20160519-0701,"org.eclipse.pde.api.tools.ui",1582775476652
stopped,bundle,org.eclipse.pde.ds.annotations,1.0.0.v20160525-1437,"org.eclipse.pde.ds.annotations",1582775476663
stopped,bundle,org.eclipse.pde.ds.ui,1.1.0.v20160518-1843,"org.eclipse.pde.ds.ui",1582775476663
stopped,bundle,org.eclipse.pde.runtime,3.5.0.v20160418-1724,"org.eclipse.pde.runtime",1582775476664
stopped,bundle,org.eclipse.pde.ui.templates,3.6.0.v20160424-1948,"org.eclipse.pde.ui.templates",1582775476665
stopped,bundle,org.eclipse.pde.ui,3.9.100.v20161102-0517,"org.eclipse.pde.ui",1582775476665
stopped,bundle,org.eclipse.ui.cheatsheets,3.5.0.v20160504-0839,"org.eclipse.ui.cheatsheets",1582775476665
stopped,bundle,org.eclipse.help.ui,4.0.200.v20160510-0758,"org.eclipse.help.ui",1582775476666
stopped,bundle,org.eclipse.help.webapp,3.8.0.v20160504-0839,"org.eclipse.help.webapp",1582775476666
stopped,bundle,org.eclipse.epp.mpc.ui,1.0.1.v20100826-2143,"org.eclipse.epp.mpc.ui",1582775476667
stopped,bundle,org.eclipse.ui.intro.universal,3.3.1.v20160829-1558,"org.eclipse.ui.intro.universal",1582775476667
stopped,bundle,org.eclipse.ui.intro.quicklinks,1.0.0.v20160515-0255,"org.eclipse.ui.intro.quicklinks",1582775476667
stopped,bundle,org.eclipse.wtp.epp.package.jee.intro,1.3.0.v201006142040,"org.eclipse.wtp.epp.package.jee.intro",1582775476667
stopped,bundle,org.eclipse.ui.intro,3.5.2.v20161116-1147,"org.eclipse.ui.intro",1582775476667
stopped,bundle,org.eclipse.help.base,4.1.2.v20170301-0400,"org.eclipse.help.base",1582775476667
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.900.v201701262139,"org.eclipse.jst.ws.axis.creation.ui",1582775476668
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.900.v201701262139,"org.eclipse.jst.ws.axis.consumption.ui",1582775476668
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.ui",1582775476669
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.ui",1582775476669
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.creation.core",1582775476669
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.200.v201309242118,"org.eclipse.jst.ws.axis2.consumption.core",1582775476670
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.300.v201403242125,"org.eclipse.jst.ws.cxf.creation.ui",1582775476670
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.950.v201701262139,"org.eclipse.jst.ws.creation.ui",1582775476671
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.400.v201701262158,"org.eclipse.jst.ws.cxf.consumption.ui",1582775476671
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.850.v201701262139,"org.eclipse.jst.ws.consumption.ui",1582775476672
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.400.v201309242118,"org.eclipse.jst.ws.axis2.ui",1582775476672
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.600.v201505131719,"org.eclipse.jst.ws.uddiregistry",1582775476672
stopped,bundle,org.eclipse.jst.ws.ui,1.0.600.v201701262139,"org.eclipse.jst.ws.ui",1582775476673
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.900.v201612121628,"org.eclipse.wst.ws.explorer",1582775476673
stopped,bundle,org.eclipse.equinox.http.jetty,3.3.0.v20160324-1850,"org.eclipse.equinox.http.jetty",1582775476674
stopped,bundle,org.eclipse.wst.server.preview,1.1.400.v201703062119,"org.eclipse.wst.server.preview",1582775476674
stopped,bundle,org.eclipse.jgit.archive,4.6.1.201703071140-r,"org.eclipse.jgit.archive",1582775476675
stopped,bundle,org.eclipse.jgit,4.6.1.201703071140-r,"org.eclipse.jgit",1582775476675
stopped,bundle,org.eclipse.m2e.editor,1.7.0.20160603-1933,"org.eclipse.m2e.editor",1582775476675
stopped,bundle,org.eclipse.m2e.editor.xml,1.7.0.20160603-1933,"org.eclipse.m2e.editor.xml",1582775476676
stopped,bundle,org.eclipse.m2e.discovery,1.7.0.20160603-1933,"org.eclipse.m2e.discovery",1582775476676
stopped,bundle,org.eclipse.m2e.importer,1.7.0.20160603-1933,"org.eclipse.m2e.importer",1582775476678
stopped,bundle,org.eclipse.m2e.wtp.jaxrs,1.3.1.20160831-1005,"org.eclipse.m2e.wtp.jaxrs",1582775476678
stopped,bundle,org.eclipse.m2e.wtp.jpa,1.3.1.20160831-1005,"org.eclipse.m2e.wtp.jpa",1582775476678
stopped,bundle,org.eclipse.m2e.wtp.jsf,1.3.1.20160831-1005,"org.eclipse.m2e.wtp.jsf",1582775476678
stopped,bundle,org.eclipse.m2e.wtp,1.3.1.20160831-1005,"org.eclipse.m2e.wtp",1582775476679
stopped,bundle,org.eclipse.m2e.jdt,1.7.0.20160603-1933,"org.eclipse.m2e.jdt",1582775476689
stopped,bundle,org.eclipse.m2e.launching,1.7.0.20160603-1933,"org.eclipse.m2e.launching",1582775476690
stopped,bundle,org.eclipse.m2e.profiles.ui,1.7.0.20160603-1933,"org.eclipse.m2e.profiles.ui",1582775476690
stopped,bundle,org.eclipse.m2e.refactoring,1.7.0.20160603-1933,"org.eclipse.m2e.refactoring",1582775476691
stopped,bundle,org.eclipse.m2e.profiles.core,1.7.0.20160603-1933,"org.eclipse.m2e.profiles.core",1582775476691
stopped,bundle,org.eclipse.m2e.wtp.overlay.ui,1.3.1.20160831-1005,"org.eclipse.m2e.wtp.overlay.ui",1582775476692
stopped,bundle,org.eclipse.m2e.wtp.overlay,1.3.1.20160831-1005,"org.eclipse.m2e.wtp.overlay",1582775476692
stopped,bundle,org.eclipse.recommenders.chain.rcp,2.4.6.v20170307-1041,"org.eclipse.recommenders.chain.rcp",1582775476693
stopped,bundle,org.eclipse.recommenders.completion.rcp,2.4.6.v20170307-1041,"org.eclipse.recommenders.completion.rcp",1582775476693
stopped,bundle,org.eclipse.recommenders.rcp,2.4.6.v20170307-1041,"org.eclipse.recommenders.rcp",1582775476693
stopped,bundle,org.eclipse.recommenders.injection,2.4.6.v20170307-1041,"org.eclipse.recommenders.injection",1582775476694
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20100503,"org.eclipse.equinox.http.jetty",1582775476694
stopped,bundle,org.eclipse.m2e.core.ui,1.7.0.20160603-1933,"org.eclipse.m2e.core.ui",1582775476694
stopped,bundle,org.eclipse.m2e.core,1.7.0.20160603-1933,"org.eclipse.m2e.core",1582775476694
stopped,bundle,org.eclipse.recommenders.utils.rcp,2.4.6.v20170307-1041,"org.eclipse.recommenders.utils.rcp",1582775476695
stopped,bundle,org.eclipse.wst.jsdt.js.bower,1.0.200.v201610220243,"org.eclipse.wst.jsdt.js.bower",1582775476695
stopped,bundle,org.eclipse.wst.jsdt.js.node,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.node",1582775476696
stopped,bundle,org.eclipse.wst.jsdt.js.node.common,1.0.0.v201605131737,"org.eclipse.wst.jsdt.js.node.common",1582775476696
stopped,bundle,org.eclipse.wst.jsdt.js.npm,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.npm",1582775476696
stopped,bundle,org.eclipse.epp.logging.aeri.core,2.0.4.v20170307-1435,"org.eclipse.epp.logging.aeri.core",1582775476696
stopped,bundle,org.eclipse.mylyn.context.tasks.ui,3.21.0.v20160815-2336,"org.eclipse.mylyn.context.tasks.ui",1582775476696
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.21.0.v20160909-1813,"org.eclipse.mylyn.bugzilla.ui",1582775476696
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.21.0.v20160909-1813,"org.eclipse.mylyn.bugzilla.core",1582775476696
stopped,bundle,org.eclipse.mylyn.java.tasks,3.21.0.v20160701-1337,"org.eclipse.mylyn.java.tasks",1582775476697
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.21.0.v20160929-1805,"org.eclipse.mylyn.tasks.bugs",1582775476697
stopped,bundle,org.eclipse.mylyn.tasks.index.core,3.21.0.v20160630-2019,"org.eclipse.mylyn.tasks.index.core",1582775476697
stopped,bundle,org.eclipse.mylyn.team.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.team.ui",1582775476697
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,2.10.1.v20161129-1925,"org.eclipse.mylyn.wikitext.tasks.ui",1582775476698
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.21.0.v20160913-2131,"org.eclipse.mylyn.tasks.ui",1582775476698
stopped,bundle,org.eclipse.mylyn.wikitext.context.ui,2.10.1.v20161129-1925,"org.eclipse.mylyn.wikitext.context.ui",1582775476698
stopped,bundle,org.eclipse.mylyn.wikitext.core.ant,2.10.1.v20161129-1925,"org.eclipse.mylyn.wikitext.core.ant",1582775476699
stopped,bundle,org.eclipse.mylyn.wikitext.ui,2.10.1.v20161129-1925,"org.eclipse.mylyn.wikitext.ui",1582775476699
stopped,bundle,org.eclipse.mylyn.wikitext.core.osgi,2.10.1.v20161129-1925,"org.eclipse.mylyn.wikitext.core.osgi",1582775476700
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.500.v201405151744,"org.eclipse.jst.server.generic.jonas",1582775476700
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.600.v201402262303,"org.eclipse.jst.server.generic.ui",1582775476701
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.900.v201606081655,"org.eclipse.jst.server.generic.core",1582775476701
stopped,bundle,org.eclipse.mylyn.ide.ant,3.21.0.v20160701-1337,"org.eclipse.mylyn.ide.ant",1582775476701
stopped,bundle,org.eclipse.ant.ui,3.6.201.v20161115-1135,"org.eclipse.ant.ui",1582775476702
stopped,bundle,org.eclipse.ant.launching,1.1.201.v20161115-1135,"org.eclipse.ant.launching",1582775476702
stopped,bundle,org.eclipse.compare.win32,1.1.0.v20160418-1534,"org.eclipse.compare.win32",1582775476703
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.400.v20150423-1455,"org.eclipse.equinox.p2.ui.sdk",1582775476703
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.501.v201609071751,"org.eclipse.jst.server.tomcat.ui",1582775476704
