what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ua.core,1.0.500.v20160204-0642,"org.eclipse.pde.ua.core",1582775665530
stopped,bundle,org.eclipse.pde.core,3.11.1.v20161115-1951,"org.eclipse.pde.core",1582775665531
stopped,bundle,org.eclipse.wst.xsl.jaxp.launching,1.0.300.v201304102131,"org.eclipse.wst.xsl.jaxp.launching",1582775665531
stopped,bundle,org.eclipse.jdt.launching,3.8.101.v20161111-2014,"org.eclipse.jdt.launching",1582775665533
stopped,bundle,org.eclipse.jdt.debug,3.10.1.v20160811-0441,"org.eclipse.jdt.debug",1582775665533
stopped,bundle,org.eclipse.jst.jsp.core,1.2.901.v201608060346,"org.eclipse.jst.jsp.core",1582775665533
stopped,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.100.v201308151836,"org.eclipse.jst.ws.jaxws.dom.ui",1582775665533
stopped,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.301.v201504272154,"org.eclipse.jst.ws.jaxws.utils",1582775665533
stopped,bundle,org.eclipse.jdt.core,3.12.3.v20170228-1205,"org.eclipse.jdt.core",1582775666034
stopped,bundle,org.eclipse.wst.jsdt.chromium.debug.js,0.1.200.v201610211901,"org.eclipse.wst.jsdt.chromium.debug.js",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.chromium.debug.core,0.5.200.v201701261810,"org.eclipse.wst.jsdt.chromium.debug.core",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.debug.crossfire,1.0.500.v201505071819,"org.eclipse.wst.jsdt.debug.crossfire",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino,1.0.500.v201605251607,"org.eclipse.wst.jsdt.debug.rhino",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.debug.core,3.2.200.v201610211901,"org.eclipse.wst.jsdt.debug.core",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.js.grunt,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.grunt",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.js.gulp,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.gulp",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.js.common,1.0.200.v201610211901,"org.eclipse.wst.jsdt.js.common",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.manipulation,1.0.601.v201602241911,"org.eclipse.wst.jsdt.manipulation",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.web.core,1.0.801.v201602241914,"org.eclipse.wst.jsdt.web.core",1582775666035
stopped,bundle,org.eclipse.wst.jsdt.core,2.0.200.v201612211424,"org.eclipse.wst.jsdt.core",1582775666035
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.300.I20100526-0800,"org.eclipse.team.cvs.ssh2",1582775666035
stopped,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1582775666039
stopped,bundle,org.eclipse.team.core,3.8.0.v20160418-1534,"org.eclipse.team.core",1582775666040
stopped,bundle,org.eclipse.datatools.sqltools.plan,1.1.0.201603142002,"org.eclipse.datatools.sqltools.plan",1582775666041
stopped,bundle,org.eclipse.datatools.sqltools.result.ui,1.2.0.201603142002,"org.eclipse.datatools.sqltools.result.ui",1582775666041
stopped,bundle,org.eclipse.datatools.sqltools.common.ui,1.1.0.201603142002,"org.eclipse.datatools.sqltools.common.ui",1582775666041
stopped,bundle,org.eclipse.ui.externaltools,3.3.100.v20160518-1858,"org.eclipse.ui.externaltools",1582775666041
stopped,bundle,org.eclipse.wst.jsdt.js.cli,1.0.0.v201605192332,"org.eclipse.wst.jsdt.js.cli",1582775666042
stopped,bundle,org.eclipse.wst.server.preview.adapter,1.1.300.v201606081655,"org.eclipse.wst.server.preview.adapter",1582775666042
stopped,bundle,org.eclipse.wst.server.http.ui,1.0.400.v201309182039,"org.eclipse.wst.server.http.ui",1582775666042
stopped,bundle,org.eclipse.wst.server.ui,1.5.307.v201611072017,"org.eclipse.wst.server.ui",1582775666043
stopped,bundle,org.eclipse.debug.ui,3.11.202.v20161114-0338,"org.eclipse.debug.ui",1582775666043
stopped,bundle,org.eclipse.mylyn.commons.notifications.ui,1.13.0.v20160630-1702,"org.eclipse.mylyn.commons.notifications.ui",1582775666043
stopped,bundle,org.eclipse.mylyn.commons.repositories.ui,1.13.0.v20160630-1702,"org.eclipse.mylyn.commons.repositories.ui",1582775666043
stopped,bundle,org.eclipse.mylyn.context.ui,3.21.0.v20160701-1337,"org.eclipse.mylyn.context.ui",1582775666043
stopped,bundle,org.eclipse.mylyn.commons.workbench,3.21.0.v20160630-1702,"org.eclipse.mylyn.commons.workbench",1582775666043
stopped,bundle,org.eclipse.oomph.setup.ui.questionnaire,1.7.0.v20170104-1401,"org.eclipse.oomph.setup.ui.questionnaire",1582775666043
stopped,bundle,org.eclipse.oomph.setup.ui,1.7.0.v20170305-1123,"org.eclipse.oomph.setup.ui",1582775666043
stopped,bundle,org.eclipse.oomph.jreinfo.ui,1.7.0.v20161220-1444,"org.eclipse.oomph.jreinfo.ui",1582775666044
stopped,bundle,org.eclipse.oomph.p2.ui,1.7.0.v20161231-0937,"org.eclipse.oomph.p2.ui",1582775666044
stopped,bundle,org.eclipse.oomph.ui,1.7.0.v20170222-1350,"org.eclipse.oomph.ui",1582775666044
